razon_social,anio,Eliminación,Recepción y Almacenamiento,Valorización,total,pct_valorizacion,n_declaraciones,rubro
INDUSTRIA DE ALIMENTOS TRENDY S A,2021,0.0,0.0,2.47,2.47,100.0,1,Otras industrias manufactureras
INDUSTRIA DE BALDOSAS MICROVIBRADAS S A,2021,153.34,0.0,0.0,153.34,0.0,1,Otras industrias manufactureras
INDUSTRIA DE TUBOS Y PREFABRICADOS DE HORMIGON BUDNIK S A,2021,385.731,0.0,0.0,385.731,0.0,1,Otras industrias manufactureras
INDUSTRIA METALURGICA URSUS TROTTER S A,2021,0.0,0.0,89.413,89.413,100.0,4,Otras industrias manufactureras
INDUSTRIAL GLOVER S.P.A,2021,50.57,0.0,0.0,50.57,0.0,1,Otras industrias manufactureras
INDUSTRIAL OCHAGAVIA LIMITADA,2021,48.43,0.0,0.0,48.43,0.0,1,Otras industrias manufactureras
INDUSTRIAS E INVERSIONES PLASTISERVI SOCIEDAD ANÓNIMA,2021,0.0,0.0,0.302,0.302,100.0,1,"Industria química, de plástico y caucho"
INDUSTRIAS METALURGICAS SORENA S A,2021,0.0,0.0,4.0,4.0,100.0,1,Otras industrias manufactureras
INGENIERIA Y CONSTRUCCION SIGDO    KOPPERS S A,2021,53.42589,0.0,0.0,53.42589,0.0,3,Otras actividades
INMOB LA CRUZ SA,2021,2899.90029,0.0,0.0,2899.90029,0.0,8,Otras actividades
INMOB NUEVO PUENTE ALTO SA,2021,4104.0,0.0,0.0,4104.0,0.0,1,Construcción
INMOBILIARIA ALTO LA CRUZ LIMITADA,2021,1176.0,0.0,0.0,1176.0,0.0,2,Otras actividades
INMOBILIARIA ALTOS DEL VALLE S.A.,2021,3243.817,0.0,0.0,3243.817,0.0,3,Otras actividades
INMOBILIARIA AMERICO VESPUCIO 4641 S A,2021,0.0,0.0,825.0,825.0,100.0,1,Construcción
INMOBILIARIA ARCILLA ROJA S.A,2021,42.0,0.0,0.0,42.0,0.0,1,Construcción
INMOBILIARIA ARTURO PRAT SPA,2021,723.84,0.0,0.0,723.84,0.0,1,Otras actividades
INMOBILIARIA AYRES ORIENTE S.A.,2021,660.0,0.0,0.0,660.0,0.0,1,Construcción
INMOBILIARIA BARRIO PARQUE SANTIAGO SPA,2021,2008.0,0.0,0.0,2008.0,0.0,3,Otras actividades
INMOBILIARIA BELGICA 1574 SPA,2021,1094.46,0.0,3.03,1097.49,0.2760845201323019,4,Construcción
INMOBILIARIA BELLAVISTA SPA,2021,176.0,0.0,0.0,176.0,0.0,1,Otras actividades
INMOBILIARIA BERNA SA,2021,744.72,0.0,0.0,744.72,0.0,1,Otras actividades
INMOBILIARIA BROWN NORTE SPA,2021,485.46000000000004,0.0,0.0,485.46000000000004,0.0,3,Otras actividades
INMOBILIARIA BUIN S.A.,2021,4352.254,0.0,0.0,4352.254,0.0,1,Construcción
INMOBILIARIA CAPITAN ORELLA SPA,2021,111.36,0.0,0.0,111.36,0.0,1,Otras actividades
INMOBILIARIA CAROL URZUA LIMITADA,2021,2676.0,0.0,0.0,2676.0,0.0,2,Otras actividades
INMOBILIARIA CIENTO CINCO S.A.,2021,896.764,0.0,0.0,896.764,0.0,6,Construcción
INMOBILIARIA CINCO DE ABRIL SPA,2021,1698.0,0.0,0.0,1698.0,0.0,2,Construcción
INMOBILIARIA CONDOR SPA,2021,0.795,0.0,0.0,0.795,0.0,1,Otras actividades
INMOBILIARIA CONQUISTA GODOY SPA,2021,31.0,0.0,0.0,31.0,0.0,1,Construcción
INMOBILIARIA CORINTO SPA,2021,260.13,0.0,0.0,260.13,0.0,1,Otras actividades
INMOBILIARIA CURINANCA SPA,2021,793.005,0.0,0.0,793.005,0.0,2,Otras actividades
INMOBILIARIA DON CARLOS SPA,2021,3887.4,0.0,0.0,3887.4,0.0,1,Otras actividades
INMOBILIARIA DON FEDERICO SPA,2021,3119.561,0.0,0.0,3119.561,0.0,1,Construcción
INMOBILIARIA DONA ISABEL SPA,2021,3949.0,0.0,0.0,3949.0,0.0,1,Construcción
INMOBILIARIA E INVERSIONES DOS M LIMITADA,2021,101.29,0.0,262.664,363.954,72.16955988943657,4,Gestores de residuos
INMOBILIARIA EL ALBA DE VALLE GRANDE S.A.,2021,1116.0,0.0,0.0,1116.0,0.0,2,Construcción
INMOBILIARIA EL DESCANSO S.A.,2021,487.0,0.0,0.0,487.0,0.0,1,Construcción
INMOBILIARIA EL NOGAL SPA,2021,99.0,0.0,0.0,99.0,0.0,1,Otras actividades
INMOBILIARIA EL RODEO FORTALEZA SPA,2021,707.04,0.0,0.0,707.04,0.0,3,Construcción
INMOBILIARIA ERASMO ESCALA SPA,2021,2863.17,0.0,26.503999999999998,2889.674,0.9171968879534507,11,Construcción
INMOBILIARIA ESEPE-VEME S A,2021,3145.0,0.0,0.0,3145.0,0.0,2,Otras actividades
INMOBILIARIA ESTOCOLMO FORTALEZA SPA,2021,33.0,0.0,0.0,33.0,0.0,1,Construcción
INMOBILIARIA EXEQUIEL FERNANDEZ SPA,2021,2436.87,0.0,0.0,2436.87,0.0,1,Construcción
INMOBILIARIA FEDERICO SCOTTO SPA,2021,1084.89,0.0,0.0,1084.89,0.0,1,Construcción
INMOBILIARIA FORTALEZA TAIHUEN SPA,2021,724.71,0.0,0.0,724.71,0.0,3,Construcción
INMOBILIARIA FP 75 SPA,2021,10784.76,0.0,0.0,10784.76,0.0,2,Construcción
INMOBILIARIA FRAMBUESAL SPA,2021,205.0,0.0,0.0,205.0,0.0,1,Construcción
INMOBILIARIA FROILAN ROA SPA,2021,19475.0,0.0,0.0,19475.0,0.0,1,Otras actividades
INMOBILIARIA GIMAX 75 SPA,2021,2641.972,0.0,0.0,2641.972,0.0,1,Otras actividades
INMOBILIARIA GIMAX 76 SPA,2021,1440.72,0.0,0.0,1440.72,0.0,1,Otras actividades
INMOBILIARIA ICOM ZANARTU SPA,2021,1636.47,0.0,0.0,1636.47,0.0,2,Otras actividades
INMOBILIARIA INDEPENDENCIA 560 S.A.,2021,512.0,0.0,0.0,512.0,0.0,2,Construcción
INMOBILIARIA INGLATERRA S.A.,2021,401.94,0.0,0.0,401.94,0.0,2,Otras actividades
INMOBILIARIA IRARRAZAVAL DOS SPA,2021,199.0,0.0,0.0,199.0,0.0,1,Otras actividades
INMOBILIARIA IRARRAZAVAL SPA,2021,415.0,0.0,0.0,415.0,0.0,2,Otras actividades
INMOBILIARIA ISIETE METROPOLITANA I SPA,2021,10173.6,0.0,0.0,10173.6,0.0,1,Construcción
INMOBILIARIA LA BALLENA S A,2021,2297.2799999999997,0.0,0.0,2297.2799999999997,0.0,2,Construcción
INMOBILIARIA LA CISTERNA SPA,2021,306.72,0.0,0.0,306.72,0.0,1,Construcción
INMOBILIARIA LA FLORIDA UNO SPA,2021,2049.96,0.0,0.0,2049.96,0.0,2,Construcción
INMOBILIARIA LA VERBENA SPA,2021,954.96,0.0,1.62,956.58,0.16935332120679922,3,Otras actividades
INMOBILIARIA LATADIA SPA,2021,824.165,9.55,6.16,839.8749999999999,0.733442476559012,5,Construcción
INMOBILIARIA LOMAS DE ASIS LIMITADA,2021,18511.4,0.0,0.0,18511.4,0.0,5,Otras actividades
INMOBILIARIA LOS ALERCES SPA,2021,31.32,0.0,0.0,31.32,0.0,1,Otras actividades
INMOBILIARIA LOS JARDINES DE SAN FRANCISCO DE ASIS S.A.,2021,2223.22,0.0,0.0,2223.22,0.0,2,Construcción
INMOBILIARIA LOS NOGALES SPA,2021,1749.0,0.0,0.0,1749.0,0.0,3,Otras actividades
INMOBILIARIA LOS OLMOS SPA,2021,1926.0,0.0,0.0,1926.0,0.0,2,Construcción
INMOBILIARIA LOS SACRAMENTINOS S A,2021,1170.8400000000001,0.0,0.0,1170.8400000000001,0.0,2,Otras actividades
INMOBILIARIA MAULE SPA,2021,9527.71,0.0,0.0,9527.71,0.0,1,Otras actividades
INMOBILIARIA MIGUEL LEON PRADO SPA.,2021,1488.135,0.0,0.0,1488.135,0.0,1,Otras actividades
INMOBILIARIA MIRADOR SPA,2021,562.02,0.0,0.0,562.02,0.0,2,Otras actividades
INMOBILIARIA MOLINA MOREL - DLP BEN GURION SPA,2021,1660.0,0.0,0.0,1660.0,0.0,1,Otras actividades
INMOBILIARIA MOLINA MOREL - DLP EL AGUILUCHO SPA,2021,1336.32,0.0,0.0,1336.32,0.0,1,Otras actividades
INMOBILIARIA MONTE ACONCAGUA S A,2021,5475.4400000000005,0.0,0.0,5475.4400000000005,0.0,4,Construcción
INMOBILIARIA MORANDE SUR SPA,2021,553.05,0.0,0.0,553.05,0.0,3,Construcción
INMOBILIARIA NEVERIA SPA,2021,333.0,0.0,0.0,333.0,0.0,1,Otras actividades
